StromnetzTyp,StationTyp,Anzahl,Datum
Allgemeinstrom,Transformatorenstation,131,2023-06-21
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-21
Allgemeinstrom,Unterwerk,191,2023-06-21
Allgemeinstrom,Transformatorenstation,131,2023-06-27
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-27
Allgemeinstrom,Unterwerk,195,2023-06-27
Allgemeinstrom,Transformatorenstation,131,2023-06-28
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-28
Allgemeinstrom,Unterwerk,195,2023-06-28
Allgemeinstrom,Transformatorenstation,131,2023-06-29
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-29
Allgemeinstrom,Unterwerk,248,2023-06-29
Allgemeinstrom,Transformatorenstation,131,2023-06-30
Allgemeinstrom,Uebergangsbauwerk,3,2023-06-30
Allgemeinstrom,Unterwerk,248,2023-06-30
Allgemeinstrom,Transformatorenstation,131,2023-07-01
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-01
Allgemeinstrom,Unterwerk,248,2023-07-01
Allgemeinstrom,Transformatorenstation,131,2023-07-02
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-02
Allgemeinstrom,Unterwerk,248,2023-07-02
Allgemeinstrom,Transformatorenstation,131,2023-07-03
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-03
Allgemeinstrom,Unterwerk,248,2023-07-03
Allgemeinstrom,Transformatorenstation,131,2023-07-04
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-04
Allgemeinstrom,Unterwerk,248,2023-07-04
Allgemeinstrom,Transformatorenstation,131,2023-07-05
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-05
Allgemeinstrom,Unterwerk,248,2023-07-05
Allgemeinstrom,Transformatorenstation,131,2023-07-06
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-06
Allgemeinstrom,Unterwerk,248,2023-07-06
Allgemeinstrom,Transformatorenstation,131,2023-07-07
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-07
Allgemeinstrom,Unterwerk,248,2023-07-07
Allgemeinstrom,Transformatorenstation,131,2023-07-08
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-08
Allgemeinstrom,Unterwerk,251,2023-07-08
Allgemeinstrom,Transformatorenstation,131,2023-07-09
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-09
Allgemeinstrom,Unterwerk,251,2023-07-09
Allgemeinstrom,Transformatorenstation,131,2023-07-10
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-10
Allgemeinstrom,Unterwerk,251,2023-07-10
Allgemeinstrom,Transformatorenstation,131,2023-07-11
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-11
Allgemeinstrom,Unterwerk,251,2023-07-11
Allgemeinstrom,Transformatorenstation,131,2023-07-12
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-12
Allgemeinstrom,Unterwerk,251,2023-07-12
Allgemeinstrom,Transformatorenstation,131,2023-07-13
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-13
Allgemeinstrom,Unterwerk,251,2023-07-13
Allgemeinstrom,Transformatorenstation,131,2023-07-14
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-14
Allgemeinstrom,Unterwerk,264,2023-07-14
Allgemeinstrom,Transformatorenstation,131,2023-07-15
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-15
Allgemeinstrom,Unterwerk,264,2023-07-15
Allgemeinstrom,Transformatorenstation,131,2023-07-16
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-16
Allgemeinstrom,Unterwerk,264,2023-07-16
Allgemeinstrom,Transformatorenstation,131,2023-07-17
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-17
Allgemeinstrom,Unterwerk,264,2023-07-17
Allgemeinstrom,Transformatorenstation,131,2023-07-18
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-18
Allgemeinstrom,Unterwerk,264,2023-07-18
Allgemeinstrom,Transformatorenstation,131,2023-07-19
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-19
Allgemeinstrom,Unterwerk,264,2023-07-19
Allgemeinstrom,Transformatorenstation,131,2023-07-20
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-20
Allgemeinstrom,Unterwerk,264,2023-07-20
Allgemeinstrom,Transformatorenstation,131,2023-07-21
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-21
Allgemeinstrom,Unterwerk,264,2023-07-21
Allgemeinstrom,Transformatorenstation,131,2023-07-22
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-22
Allgemeinstrom,Unterwerk,264,2023-07-22
Allgemeinstrom,Transformatorenstation,131,2023-07-23
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-23
Allgemeinstrom,Unterwerk,264,2023-07-23
Allgemeinstrom,Transformatorenstation,131,2023-07-24
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-24
Allgemeinstrom,Unterwerk,264,2023-07-24
Allgemeinstrom,Transformatorenstation,131,2023-07-25
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-25
Allgemeinstrom,Unterwerk,264,2023-07-25
Allgemeinstrom,Transformatorenstation,131,2023-07-26
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-26
Allgemeinstrom,Unterwerk,264,2023-07-26
Allgemeinstrom,Transformatorenstation,131,2023-07-27
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-27
Allgemeinstrom,Unterwerk,264,2023-07-27
Allgemeinstrom,Transformatorenstation,131,2023-07-28
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-28
Allgemeinstrom,Unterwerk,264,2023-07-28
Allgemeinstrom,Transformatorenstation,131,2023-07-29
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-29
Allgemeinstrom,Unterwerk,264,2023-07-29
Allgemeinstrom,Transformatorenstation,131,2023-07-30
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-30
Allgemeinstrom,Unterwerk,264,2023-07-30
Allgemeinstrom,Transformatorenstation,131,2023-07-31
Allgemeinstrom,Uebergangsbauwerk,3,2023-07-31
Allgemeinstrom,Unterwerk,264,2023-07-31
Allgemeinstrom,Transformatorenstation,131,2023-08-01
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-01
Allgemeinstrom,Unterwerk,264,2023-08-01
Allgemeinstrom,Transformatorenstation,131,2023-08-02
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-02
Allgemeinstrom,Unterwerk,264,2023-08-02
Allgemeinstrom,Transformatorenstation,131,2023-08-03
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-03
Allgemeinstrom,Unterwerk,264,2023-08-03
Allgemeinstrom,Transformatorenstation,131,2023-08-04
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-04
Allgemeinstrom,Unterwerk,279,2023-08-04
Allgemeinstrom,Kraftwerk,5,2023-08-05
Allgemeinstrom,Transformatorenstation,186,2023-08-05
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-05
Allgemeinstrom,Unterwerk,279,2023-08-05
Allgemeinstrom,Kraftwerk,5,2023-08-06
Allgemeinstrom,Transformatorenstation,186,2023-08-06
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-06
Allgemeinstrom,Unterwerk,279,2023-08-06
Allgemeinstrom,Kraftwerk,5,2023-08-07
Allgemeinstrom,Transformatorenstation,186,2023-08-07
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-07
Allgemeinstrom,Unterwerk,279,2023-08-07
Allgemeinstrom,Kraftwerk,5,2023-08-08
Allgemeinstrom,Transformatorenstation,186,2023-08-08
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-08
Allgemeinstrom,Unterwerk,279,2023-08-08
Allgemeinstrom,Kraftwerk,5,2023-08-09
Allgemeinstrom,Transformatorenstation,186,2023-08-09
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-09
Allgemeinstrom,Unterwerk,279,2023-08-09
Allgemeinstrom,Kraftwerk,5,2023-08-10
Allgemeinstrom,Transformatorenstation,186,2023-08-10
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-10
Allgemeinstrom,Unterwerk,279,2023-08-10
